Metabolites,Class,Treatment type,Treatment concentration,Replicate,Metabolite concentration
Tryptamine,Alkaloids,RL,0.25,1,-0.597795592
Phenylpyruvic acid oxime 2TMS,,RL,0.25,1,0.420955393
L-Glutamine 3TMS,Amino acids,RL,0.25,1,-0.707719776
L-phenylalanine 2TMS,Amino acids,RL,0.25,1,-1.01114749
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.25,1,-0.40425075
2-Keto-L-gulonic acid,Carbohydrates,RL,0.25,1,-0.597526732
"Arabinose, 4TMS",Carbohydrates,RL,0.25,1,-0.924167195
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.25,1,-0.71739277
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.25,1,1.019911212
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.25,1,-0.970261139
Glyceric acid 3TMS,Organic acids,RL,0.25,1,0.893223879
"Lactose, TMS",Carbohydrates,RL,0.25,1,-0.730242765
β-D-Glucopyranose TMS,Carbohydrates,RL,0.25,1,-0.935177592
5-Methoxyindoleacetic acid,Indoles,RL,0.25,1,0.164247021
Erythrose MEOX-3TMS,Carbohydrates,RL,0.25,1,-0.785911131
Glucose-MOX-5TMS-PK6,Carbohydrates,RL,0.25,1,0.874891111
"Xylose, TMS",Carbohydrates,RL,0.25,1,-0.833879775
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.25,1,-0.894098724
"Palmitic acid, TMS",Fatty acids,RL,0.25,1,-1.449815306
L-Rhamnose 4TMS,Carbohydrates,RL,0.25,1,-0.62130547
"Myristic acid, TMS",Fatty acids,RL,0.25,1,-0.074440191
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.25,1,-1.167123506
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.25,1,-0.540210071
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.25,1,-1.324844578
"2-Palmitoylglycerol, 2TMS",,RL,0.25,1,-0.022762865
"Altronic acid, 1,4-lactone, TMS",,RL,0.25,1,-0.971937015
"Uridine, tris-TMS",Nucleic acids,RL,0.25,1,-0.954626778
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.25,1,-0.934895022
Monostearin TMS,,RL,0.25,1,-0.883825515
Adenine 2TMS,Nucleic acids,RL,0.25,2,-0.725620535
Serine 3TMS,Amino acids,RL,0.25,2,-0.738527995
L-Threonine 3TMS,Amino acids,RL,0.25,2,-0.703375513
Malic acid 3TMS,Organic acids,RL,0.25,2,0.472300862
L-Aspartic acid 3TMS,Amino acids,RL,0.25,2,-0.942576821
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.25,2,-1.782891578
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.25,2,-1.206628717
Tryptamine,Alkaloids,RL,0.25,2,-0.725569821
Phenylpyruvic acid oxime 2TMS,,RL,0.25,2,-2.186851792
L-Glutamine 3TMS,Amino acids,RL,0.25,2,-0.662854443
L-phenylalanine 2TMS,Amino acids,RL,0.25,2,-0.901288625
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.25,2,-0.511920922
2-Keto-L-gulonic acid,Carbohydrates,RL,0.25,2,-0.219071594
"Arabinose, 4TMS",Carbohydrates,RL,0.25,2,-0.391493542
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.25,2,-0.248982257
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.25,2,0.926007906
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.25,2,-0.96567515
Glyceric acid 3TMS,Organic acids,RL,0.25,2,0.62975905
"Lactose, TMS",Carbohydrates,RL,0.25,2,-0.221058702
β-D-Glucopyranose TMS,Carbohydrates,RL,0.25,2,-1.086797219
5-Methoxyindoleacetic acid,Indoles,RL,0.25,2,0.578164946
Erythrose MEOX-3TMS,Carbohydrates,RL,0.25,2,-0.83109713
Glucose-MOX-5TMS-PK6,Carbohydrates,RL,0.25,2,-0.695113571
"Xylose, TMS",Carbohydrates,RL,0.25,2,-0.924720918
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.25,2,-1.128686236
"Palmitic acid, TMS",Fatty acids,RL,0.25,2,-0.705436485
L-Rhamnose 4TMS,Carbohydrates,RL,0.25,2,-0.469010088
"Myristic acid, TMS",Fatty acids,RL,0.25,2,-0.003069146
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.25,2,-0.538170851
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.25,2,-0.630319946
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.25,2,-1.192164446
"2-Palmitoylglycerol, 2TMS",,RL,0.25,2,0.206695353
"Altronic acid, 1,4-lactone, TMS",,RL,0.25,2,-0.906006365
"Uridine, tris-TMS",Nucleic acids,RL,0.25,2,-1.468198137
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.25,2,-0.849322214
Monostearin TMS,,RL,0.25,2,1.268520936
Adenine 2TMS,Nucleic acids,RL,0.25,3,-2.58800195
Serine 3TMS,Amino acids,RL,0.25,3,-0.879959254
L-Threonine 3TMS,Amino acids,RL,0.25,3,-0.699165497
Malic acid 3TMS,Organic acids,RL,0.25,3,0.521389233
L-Aspartic acid 3TMS,Amino acids,RL,0.25,3,-0.894524744
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.25,3,-1.7495755
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.25,3,0.129192423
Tryptamine,Alkaloids,RL,0.25,3,-0.09255202
Phenylpyruvic acid oxime 2TMS,,RL,0.25,3,-2.156151221
L-Glutamine 3TMS,Amino acids,RL,0.25,3,-0.645579093
L-phenylalanine 2TMS,Amino acids,RL,0.25,3,-0.858997176
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.25,3,-0.3684072
2-Keto-L-gulonic acid,Carbohydrates,RL,0.25,3,0.087235347
"Arabinose, 4TMS",Carbohydrates,RL,0.25,3,-0.007382957
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.25,3,-0.184150291
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.25,3,0.793749302
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.25,3,-0.977025991
Glyceric acid 3TMS,Organic acids,RL,0.25,3,-1.171741813
"Lactose, TMS",Carbohydrates,RL,0.25,3,-0.117101208
β-D-Glucopyranose TMS,Carbohydrates,RL,0.25,3,-0.926870845
5-Methoxyindoleacetic acid,Indoles,RL,0.25,3,-1.717675234
Erythrose MEOX-3TMS,Carbohydrates,RL,0.25,3,-0.872269679
Glucose-MOX-5TMS-PK7,Carbohydrates,RL,0.25,3,0.837860292
"Xylose, TMS",Carbohydrates,RL,0.25,3,-0.975351077
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.25,3,-0.899561769
"Palmitic acid, TMS",Fatty acids,RL,0.25,3,-0.977568219
L-Rhamnose 4TMS,Carbohydrates,RL,0.25,3,-0.242112639
"Myristic acid, TMS",Fatty acids,RL,0.25,3,-1.31381952
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.25,3,-0.681000958
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.25,3,-2.321600456
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.25,3,-1.141080741
"2-Palmitoylglycerol, 2TMS",,RL,0.25,3,-0.524169858
"Altronic acid, 1,4-lactone, TMS",,RL,0.25,3,-0.88062577
"Uridine, tris-TMS",Nucleic acids,RL,0.25,3,-2.086222663
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.25,3,-0.816380198
Monostearin TMS,,RL,0.25,3,-0.847505119
Adenine 2TMS,Nucleic acids,RL,0.25,4,-1.043212043
Serine 3TMS,Amino acids,RL,0.25,4,-0.851969392
L-Threonine 3TMS,Amino acids,RL,0.25,4,2.877782373
Malic acid 3TMS,Organic acids,RL,0.25,4,0.425790772
L-Aspartic acid 3TMS,Amino acids,RL,0.25,4,-0.950606231
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.25,4,-0.521781648
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.25,4,0.303387566
Tryptamine,Alkaloids,RL,0.25,4,-0.857012522
Phenylpyruvic acid oxime 2TMS,,RL,0.25,4,-2.191981788
L-Glutamine 3TMS,Amino acids,RL,0.25,4,-0.665740927
L-phenylalanine 2TMS,Amino acids,RL,0.25,4,-0.908355437
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.25,4,-0.521124503
2-Keto-L-gulonic acid,Carbohydrates,RL,0.25,4,-0.625804435
"Arabinose, 4TMS",Carbohydrates,RL,0.25,4,-0.886446103
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.25,4,-0.222398221
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.25,4,0.639540733
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.25,4,-0.983036358
Glyceric acid 3TMS,Organic acids,RL,0.25,4,-1.204406656
"Lactose, TMS",Carbohydrates,RL,0.25,4,-0.700611302
β-D-Glucopyranose TMS,Carbohydrates,RL,0.25,4,-1.175064444
5-Methoxyindoleacetic acid,Indoles,RL,0.25,4,-0.745272021
Erythrose MEOX-3TMS,Carbohydrates,RL,0.25,4,-0.171645743
Glucose-MOX-5TMS-PK7,Carbohydrates,RL,0.25,4,-2.582603404
"Xylose, TMS",Carbohydrates,RL,0.25,4,-1.032451018
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.25,4,-1.287005
"Palmitic acid, TMS",Fatty acids,RL,0.25,4,-0.891365579
L-Rhamnose 4TMS,Carbohydrates,RL,0.25,4,-0.889428355
"Myristic acid, TMS",Fatty acids,RL,0.25,4,-0.140053959
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.25,4,-0.744697367
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.25,4,-0.707565586
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.25,4,0.264018818
"2-Palmitoylglycerol, 2TMS",,RL,0.25,4,-0.12017229
"Altronic acid, 1,4-lactone, TMS",,RL,0.25,4,-0.910247417
"Uridine, tris-TMS",Nucleic acids,RL,0.25,4,-1.294423087
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.25,4,-0.854826767
Monostearin TMS,,RL,0.25,4,1.195748267
Adenine 2TMS,Nucleic acids,RL,0.25,5,-0.732756965
Serine 3TMS,Amino acids,RL,0.25,5,-0.694344883
L-Threonine 3TMS,Amino acids,RL,0.25,5,-0.627904359
Malic acid 3TMS,Organic acids,RL,0.25,5,0.660826627
L-Aspartic acid 3TMS,Amino acids,RL,0.25,5,-0.771790433
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.25,5,-0.417760634
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.25,5,0.369126406
Tryptamine,Alkaloids,RL,0.25,5,-0.403850393
Phenylpyruvic acid oxime 2TMS,,RL,0.25,5,-2.077735592
L-Glutamine 3TMS,Amino acids,RL,0.25,5,-0.601446724
L-phenylalanine 2TMS,Amino acids,RL,0.25,5,-0.750976313
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.25,5,-0.321550404
2-Keto-L-gulonic acid,Carbohydrates,RL,0.25,5,-0.298574582
"Arabinose, 4TMS",Carbohydrates,RL,0.25,5,-0.077477504
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.25,5,-0.092845442
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.25,5,1.149181426
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.25,5,-0.96161631
Glyceric acid 3TMS,Organic acids,RL,0.25,5,-1.100255007
"Lactose, TMS",Carbohydrates,RL,0.25,5,-0.715698487
β-D-Glucopyranose TMS,Carbohydrates,RL,0.25,5,-0.816398273
5-Methoxyindoleacetic acid,Indoles,RL,0.25,5,-1.64892886
Erythrose MEOX-3TMS,Carbohydrates,RL,0.25,5,-0.180928105
Glucose-MOX-5TMS-PK8,Carbohydrates,RL,0.25,5,0.782933953
"Xylose, TMS",Carbohydrates,RL,0.25,5,-0.697641527
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.25,5,-0.92161639
"Palmitic acid, TMS",Fatty acids,RL,0.25,5,-0.967815369
L-Rhamnose 4TMS,Carbohydrates,RL,0.25,5,-0.418870272
"Myristic acid, TMS",Fatty acids,RL,0.25,5,-1.231000307
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.25,5,-0.792086819
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.25,5,-0.437483013
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.25,5,0.417896796
"2-Palmitoylglycerol, 2TMS",,RL,0.25,5,-0.528551651
"Altronic acid, 1,4-lactone, TMS",,RL,0.25,5,-0.815798971
"Uridine, tris-TMS",Nucleic acids,RL,0.25,5,-1.448273439
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.25,5,-0.732240116
Monostearin TMS,,RL,0.25,5,-0.853550955
Adenine 2TMS,Nucleic acids,RL,0.5,1,-0.956355795
Serine 3TMS,Amino acids,RL,0.5,1,-0.770417594
L-Threonine 3TMS,Amino acids,RL,0.5,1,-0.621902264
Malic acid 3TMS,Organic acids,RL,0.5,1,0.834553727
L-Aspartic acid 3TMS,Amino acids,RL,0.5,1,-1.206300968
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.5,1,-0.308533386
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.5,1,0.443938948
Tryptamine,Alkaloids,RL,0.5,1,0.438627948
Phenylpyruvic acid oxime 2TMS,,RL,0.5,1,0.548312117
L-Glutamine 3TMS,Amino acids,RL,0.5,1,-0.75762172
L-phenylalanine 2TMS,Amino acids,RL,0.5,1,-1.133394908
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.5,1,-0.654179966
2-Keto-L-gulonic acid,Carbohydrates,RL,0.5,1,-0.717777246
"Arabinose, 4TMS",Carbohydrates,RL,0.5,1,-0.927024536
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.5,1,-0.351774388
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.5,1,0.603382427
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.5,1,-0.96705071
Glyceric acid 3TMS,Organic acids,RL,0.5,1,-0.634750327
"Lactose, TMS",Carbohydrates,RL,0.5,1,-0.747072943
β-D-Glucopyranose TMS,Carbohydrates,RL,0.5,1,-0.9713789
5-Methoxyindoleacetic acid,Indoles,RL,0.5,1,0.642414034
Erythrose MEOX-3TMS,Carbohydrates,RL,0.5,1,0.362906045
Glucose-MOX-5TMS-PK8,Carbohydrates,RL,0.5,1,0.928473856
"Xylose, TMS",Carbohydrates,RL,0.5,1,-1.08605384
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.5,1,-1.073232489
"Palmitic acid, TMS",Fatty acids,RL,0.5,1,-0.879784607
L-Rhamnose 4TMS,Carbohydrates,RL,0.5,1,-0.306384307
"Myristic acid, TMS",Fatty acids,RL,0.5,1,-1.524203012
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.5,1,-0.703527413
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.5,1,-0.586474564
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.5,1,0.397638813
"2-Palmitoylglycerol, 2TMS",,RL,0.5,1,0.112165502
"Altronic acid, 1,4-lactone, TMS",,RL,0.5,1,-1.04530355
"Uridine, tris-TMS",Nucleic acids,RL,0.5,1,-1.336044959
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.5,1,-1.030119042
Monostearin TMS,,RL,0.5,1,-0.791458967
Adenine 2TMS,Nucleic acids,RL,0.5,2,-1.195176476
Serine 3TMS,Amino acids,RL,0.5,2,-0.736082828
L-Threonine 3TMS,Amino acids,RL,0.5,2,-0.598674525
Malic acid 3TMS,Organic acids,RL,0.5,2,0.292301923
L-Aspartic acid 3TMS,Amino acids,RL,0.5,2,-1.294810747
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.5,2,-0.459298091
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.5,2,-1.444792672
Tryptamine,Alkaloids,RL,0.5,2,-0.342342105
Phenylpyruvic acid oxime 2TMS,,RL,0.5,2,-2.411890147
L-Glutamine 3TMS,Amino acids,RL,0.5,2,-0.789402857
L-phenylalanine 2TMS,Amino acids,RL,0.5,2,-1.211292282
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.5,2,-0.823877939
2-Keto-L-gulonic acid,Carbohydrates,RL,0.5,2,-0.454480485
"Arabinose, 4TMS",Carbohydrates,RL,0.5,2,-0.764676788
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.5,2,2.94542588
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.5,2,0.600984179
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.5,2,2.169332363
Glyceric acid 3TMS,Organic acids,RL,0.5,2,0.715096709
"Lactose, TMS",Carbohydrates,RL,0.5,2,-0.242510123
β-D-Glucopyranose TMS,Carbohydrates,RL,0.5,2,-0.983130252
5-Methoxyindoleacetic acid,Indoles,RL,0.5,2,0.537071515
Erythrose MEOX-3TMS,Carbohydrates,RL,0.5,2,-1.121540049
Glucose-MOX-5TMS-PK9,Carbohydrates,RL,0.5,2,-0.674545073
"Xylose, TMS",Carbohydrates,RL,0.5,2,-1.197958097
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.5,2,-1.089937315
"Palmitic acid, TMS",Fatty acids,RL,0.5,2,-1.401151248
L-Rhamnose 4TMS,Carbohydrates,RL,0.5,2,-0.031765599
"Myristic acid, TMS",Fatty acids,RL,0.5,2,-0.531609055
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.5,2,-1.34143757
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.5,2,-0.362519244
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.5,2,-1.566469904
"2-Palmitoylglycerol, 2TMS",,RL,0.5,2,-0.243129239
"Altronic acid, 1,4-lactone, TMS",,RL,0.5,2,-1.09205426
"Uridine, tris-TMS",Nucleic acids,RL,0.5,2,-1.197015502
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.5,2,-1.090797818
Monostearin TMS,,RL,0.5,2,-0.846179979
Adenine 2TMS,Nucleic acids,RL,0.5,3,-0.901811168
Serine 3TMS,Amino acids,RL,0.5,3,-0.68255697
L-Threonine 3TMS,Amino acids,RL,0.5,3,-0.632334134
Malic acid 3TMS,Organic acids,RL,0.5,3,0.412220638
L-Aspartic acid 3TMS,Amino acids,RL,0.5,3,-1.01907105
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.5,3,-1.835927636
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.5,3,-1.258350175
Tryptamine,Alkaloids,RL,0.5,3,-0.403733533
Phenylpyruvic acid oxime 2TMS,,RL,0.5,3,-2.235723873
L-Glutamine 3TMS,Amino acids,RL,0.5,3,-0.690350748
L-phenylalanine 2TMS,Amino acids,RL,0.5,3,-0.968612318
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.5,3,-0.546473386
2-Keto-L-gulonic acid,Carbohydrates,RL,0.5,3,-0.69930183
"Arabinose, 4TMS",Carbohydrates,RL,0.5,3,0.912884741
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.5,3,-0.000906368
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.5,3,-1.840279517
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.5,3,0.575744345
Glyceric acid 3TMS,Organic acids,RL,0.5,3,0.574716705
"Lactose, TMS",Carbohydrates,RL,0.5,3,-0.704409605
β-D-Glucopyranose TMS,Carbohydrates,RL,0.5,3,-0.670335778
5-Methoxyindoleacetic acid,Indoles,RL,0.5,3,0.483798336
Erythrose MEOX-3TMS,Carbohydrates,RL,0.5,3,-0.122798204
Glucose-MOX-5TMS-PK9,Carbohydrates,RL,0.5,3,-0.702755072
"Xylose, TMS",Carbohydrates,RL,0.5,3,-0.928941689
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.5,3,-0.811925669
"Palmitic acid, TMS",Fatty acids,RL,0.5,3,-1.288997963
L-Rhamnose 4TMS,Carbohydrates,RL,0.5,3,-0.363892653
"Myristic acid, TMS",Fatty acids,RL,0.5,3,-1.397861766
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.5,3,-1.241269952
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.5,3,-0.49768105
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.5,3,-1.273476899
"2-Palmitoylglycerol, 2TMS",,RL,0.5,3,-0.858292372
"Altronic acid, 1,4-lactone, TMS",,RL,0.5,3,-0.946409889
"Uridine, tris-TMS",Nucleic acids,RL,0.5,3,-2.144795323
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.5,3,-0.901762815
Monostearin TMS,,RL,0.5,3,-0.949152461
Adenine 2TMS,Nucleic acids,RL,0.5,4,-1.019560901
Serine 3TMS,Amino acids,RL,0.5,4,-0.62107698
L-Threonine 3TMS,Amino acids,RL,0.5,4,-0.552238577
Malic acid 3TMS,Organic acids,RL,0.5,4,0.437730467
L-Aspartic acid 3TMS,Amino acids,RL,0.5,4,-1.005855599
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.5,4,-0.325172449
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.5,4,-1.249414558
Tryptamine,Alkaloids,RL,0.5,4,-0.242959781
Phenylpyruvic acid oxime 2TMS,,RL,0.5,4,-2.227280559
L-Glutamine 3TMS,Amino acids,RL,0.5,4,-0.685600798
L-phenylalanine 2TMS,Amino acids,RL,0.5,4,-0.956981223
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.5,4,-0.563484672
2-Keto-L-gulonic acid,Carbohydrates,RL,0.5,4,-1.146953125
"Arabinose, 4TMS",Carbohydrates,RL,0.5,4,1.127172276
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.5,4,3.444397549
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.5,4,1.06156041
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.5,4,-1.027260962
Glyceric acid 3TMS,Organic acids,RL,0.5,4,0.615058998
"Lactose, TMS",Carbohydrates,RL,0.5,4,-0.441438792
β-D-Glucopyranose TMS,Carbohydrates,RL,0.5,4,-0.700586634
5-Methoxyindoleacetic acid,Indoles,RL,0.5,4,0.555055326
Erythrose MEOX-3TMS,Carbohydrates,RL,0.5,4,-0.032509249
Glucose-MOX-5TMS-PK10,Carbohydrates,RL,0.5,4,1.017149621
"Xylose, TMS",Carbohydrates,RL,0.5,4,-1.070479149
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.5,4,-0.926832641
"Palmitic acid, TMS",Fatty acids,RL,0.5,4,-1.286030526
L-Rhamnose 4TMS,Carbohydrates,RL,0.5,4,-0.032836796
"Myristic acid, TMS",Fatty acids,RL,0.5,4,-1.388944131
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.5,4,-1.224962003
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.5,4,-0.350539903
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.5,4,-1.259429789
"2-Palmitoylglycerol, 2TMS",,RL,0.5,4,-1.792380744
"Altronic acid, 1,4-lactone, TMS",,RL,0.5,4,-0.939429605
"Uridine, tris-TMS",Nucleic acids,RL,0.5,4,-1.320859659
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.5,4,-0.892702954
Monostearin TMS,,RL,0.5,4,-1.008234645
Adenine 2TMS,Nucleic acids,RL,0.5,5,-1.129669585
Serine 3TMS,Amino acids,RL,0.5,5,-0.55267877
L-Threonine 3TMS,Amino acids,RL,0.5,5,-0.524286962
Malic acid 3TMS,Organic acids,RL,0.5,5,0.428394688
L-Aspartic acid 3TMS,Amino acids,RL,0.5,5,-0.972404789
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.5,5,-0.331921819
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.5,5,-1.226796837
Tryptamine,Alkaloids,RL,0.5,5,-0.357386928
Phenylpyruvic acid oxime 2TMS,,RL,0.5,5,0.034702366
L-Glutamine 3TMS,Amino acids,RL,0.5,5,-0.673576966
L-phenylalanine 2TMS,Amino acids,RL,0.5,5,-0.927540684
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.5,5,-0.584275579
2-Keto-L-gulonic acid,Carbohydrates,RL,0.5,5,-0.82295979
"Arabinose, 4TMS",Carbohydrates,RL,0.5,5,-0.572258209
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.5,5,-0.236814313
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.5,5,0.681465326
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.5,5,0.610366428
Glyceric acid 3TMS,Organic acids,RL,0.5,5,-1.217103313
"Lactose, TMS",Carbohydrates,RL,0.5,5,-0.742781734
β-D-Glucopyranose TMS,Carbohydrates,RL,0.5,5,-0.871041082
5-Methoxyindoleacetic acid,Indoles,RL,0.5,5,-1.761296078
Erythrose MEOX-3TMS,Carbohydrates,RL,0.5,5,0.456858845
Glucose-MOX-5TMS-PK10,Carbohydrates,RL,0.5,5,0.387684592
"Xylose, TMS",Carbohydrates,RL,0.5,5,-1.060806893
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.5,5,-0.951305272
"Palmitic acid, TMS",Fatty acids,RL,0.5,5,-1.524560657
L-Rhamnose 4TMS,Carbohydrates,RL,0.5,5,-0.03005038
"Myristic acid, TMS",Fatty acids,RL,0.5,5,-0.454760544
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.5,5,-1.236555237
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.5,5,-0.725120237
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.5,5,-1.223872443
"2-Palmitoylglycerol, 2TMS",,RL,0.5,5,-0.293161372
"Altronic acid, 1,4-lactone, TMS",,RL,0.5,5,-0.9217612
"Uridine, tris-TMS",Nucleic acids,RL,0.5,5,-1.479225217
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.5,5,-0.869770752
Monostearin TMS,,RL,0.5,5,-0.869018751
Adenine 2TMS,Nucleic acids,RL,1,1,-1.518509144
Serine 3TMS,Amino acids,RL,1,1,-0.772831384
L-Threonine 3TMS,Amino acids,RL,1,1,-0.627810012
Malic acid 3TMS,Organic acids,RL,1,1,0.309273791
L-Aspartic acid 3TMS,Amino acids,RL,1,1,-1.571952127
"Pipecolic acid, TMS derivative",Alkaloids,RL,1,1,-0.031565441
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,1,1,-1.632187158
Tryptamine,Alkaloids,RL,1,1,-1.148155072
Phenylpyruvic acid oxime 2TMS,,RL,1,1,-0.050171849
L-Glutamine 3TMS,Amino acids,RL,1,1,-0.888780071
L-phenylalanine 2TMS,Amino acids,RL,1,1,-1.455198651
L-(+)-Tartaric acid 4TMS,Organic acids,RL,1,1,-0.391155552
2-Keto-L-gulonic acid,Carbohydrates,RL,1,1,-0.575758502
"Arabinose, 4TMS",Carbohydrates,RL,1,1,0.334341186
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,1,1,-0.300118528
